pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
East Harlem North,Central Harlem,2023-01-21,1.0,0.58,8.0,40.798,-73.937,40.8116,-73.9465,2023-01-21
East Harlem North,Central Harlem North,2023-01-21,1.0,1.39,17.3,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem North,Upper West Side North,2023-01-21,1.0,2.34,21.31,40.798,-73.937,40.787,-73.975,2023-01-21
East Harlem North,Manhattan Valley,2023-01-21,3.0,2.04,15.7,40.798,-73.937,0.0,0.0,2023-01-21
Forest Hills,Kew Gardens,2023-01-21,1.0,1.37,11.5,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Upper East Side South,2023-01-21,1.0,2.6,20.41,40.798,-73.937,0.0,0.0,2023-01-21
Woodside,Astoria,2023-01-21,1.0,2.15,19.68,0.0,0.0,0.0,0.0,2023-01-21
Jamaica,Two Bridges/Seward Park,2023-01-21,1.0,15.02,66.12,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem,Upper West Side South,2023-01-21,2.0,2.16,19.78,40.8116,-73.9465,0.0,0.0,2023-01-21
East Harlem South,Central Park,2023-01-21,2.0,2.32,21.07,0.0,0.0,40.7812,-73.9665,2023-01-21
Elmhurst,Middle Village,2023-01-21,1.0,2.73,24.0,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem North,East Chelsea,2023-01-21,1.0,6.8,38.65,0.0,0.0,0.0,0.0,2023-01-21
DUMBO/Vinegar Hill,Murray Hill,2023-01-21,1.0,7.12,46.5,0.0,0.0,0.0,0.0,2023-01-21
Jackson Heights,Elmhurst,2023-01-21,1.0,1.14,14.3,0.0,0.0,0.0,0.0,2023-01-21
Jackson Heights,Sunnyside,2023-01-21,1.0,2.08,15.0,0.0,0.0,0.0,0.0,2023-01-21
Washington Heights South,Highbridge,2023-01-21,1.0,1.71,15.0,0.0,0.0,0.0,0.0,2023-01-21
Washington Heights South,Washington Heights North,2023-01-21,1.0,1.25,10.1,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem North,Lincoln Square East,2023-01-21,1.0,4.18,30.35,0.0,0.0,0.0,0.0,2023-01-21
Flushing,Murray Hill,2023-01-21,1.0,10.87,57.9,0.0,0.0,0.0,0.0,2023-01-21
Kew Gardens,Briarwood/Jamaica Hills,2023-01-21,1.0,0.42,5.9,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,East Harlem South,2023-01-21,1.0,1.05,11.28,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem North,Hamilton Heights,2023-01-21,2.0,2.22,24.72,40.798,-73.937,0.0,0.0,2023-01-21
Astoria,Old Astoria,2023-01-21,1.0,1.54,11.5,0.0,0.0,0.0,0.0,2023-01-21
Morningside Heights,Upper West Side North,2023-01-21,1.0,0.85,9.6,40.81,-73.96,40.787,-73.975,2023-01-21
Morningside Heights,Lenox Hill East,2023-01-21,1.0,3.72,30.94,40.81,-73.96,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,Chinatown,2023-01-21,1.0,2.44,24.66,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Yorkville West,2023-01-21,1.0,2.47,23.94,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem North,Central Harlem,2023-01-21,1.0,1.3,12.42,40.798,-73.937,40.8116,-73.9465,2023-01-21
East Harlem North,Yorkville West,2023-01-21,1.0,2.43,19.05,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem North,Yorkville West,2023-01-21,1.0,2.3,22.19,40.798,-73.937,0.0,0.0,2023-01-21
